Sample,n_clusters,Silhouette Score
1,2,0.28292305737896273
1,3,0.32478905726821095
1,4,0.33914693534804125
1,5,0.3228272379741527
1,6,0.3141655598465507
1,7,0.3304266643006037
1,8,0.32656219876164944
1,9,0.3147465603867523
1,10,0.30658911187162374
1,11,0.3111310367047503
1,12,0.3106756520915554
2,2,0.28163346124524824
2,3,0.32138543289212873
2,4,0.33956935009970096
2,5,0.3215774751486731
2,6,0.2993965659085098
2,7,0.3297423007885666
2,8,0.3117683617636108
2,9,0.31917895400995255
2,10,0.3239394008300725
2,11,0.325093357929339
2,12,0.3209446654416771
3,2,0.7191726227013191
3,3,0.31901235420238966
3,4,0.33974395395428714
3,5,0.32053364787531746
3,6,0.31619273792403246
3,7,0.33129769723721064
3,8,0.31051662841798405
3,9,0.3205812613170989
3,10,0.31821795713462986
3,11,0.3232823248602748
3,12,0.32205087638419194
4,2,0.7199285050510994
4,3,0.3223974185258798
4,4,0.339765494066889
4,5,0.32275488372383554
4,6,0.3160466428072014
4,7,0.33382898842424513
4,8,0.3296844148373309
4,9,0.31976252681173206
4,10,0.3208503558397338
4,11,0.32536911245802347
4,12,0.32229222345176173
5,2,0.7198473844001513
5,3,0.3222570146611176
5,4,0.3397452877204989
5,5,0.3212832361621203
5,6,0.30791016492006845
5,7,0.333705399909767
5,8,0.3208269105112539
5,9,0.31766463216471297
5,10,0.3103214002909688
5,11,0.3117312258094439
5,12,0.31120232337142634
6,2,0.27954492531528846
6,3,0.3222772303635392
6,4,0.3365059184112014
6,5,0.32130845805175046
6,6,0.31221607308336585
6,7,0.3352430720530536
6,8,0.3318992579196747
6,9,0.3233205409765807
6,10,0.327099775274557
6,11,0.3297283566401444
6,12,0.3291732494645062
7,2,0.7190029432961749
7,3,0.32196318928307716
7,4,0.3371530567031237
7,5,0.3224577408192443
7,6,0.30747756233208773
7,7,0.33521493489807674
7,8,0.3217386618312221
7,9,0.3167586391873005
7,10,0.30773571286994317
7,11,0.3110056814573473
7,12,0.31661653300994697
8,2,0.27994958161750194
8,3,0.28517026633291714
8,4,0.338675657538476
8,5,0.31974131637382947
8,6,0.315138168705435
8,7,0.329245851814956
8,8,0.32894722684059524
8,9,0.3235865799563849
8,10,0.3143539248042115
8,11,0.3297989388813378
8,12,0.32144481330841873
9,2,0.2791863820861686
9,3,0.3227704513016699
9,4,0.3387841016851856
9,5,0.32180832229193845
9,6,0.30511314613509966
9,7,0.33491646542561004
9,8,0.33237261168632054
9,9,0.3201598510094475
9,10,0.30860774055738704
9,11,0.3078344577983456
9,12,0.31569450088177387
10,2,0.2795794246732142
10,3,0.318568390649536
10,4,0.3398016952996631
10,5,0.3249656470908896
10,6,0.3135937043596168
10,7,0.3340072670707931
10,8,0.3282308931357268
10,9,0.317552129388198
10,10,0.32522804697588276
10,11,0.3243721162248737
10,12,0.32176406020786313
